NS 100
ROOT 8123
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 9015
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 2345
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 3438
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 6789
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 8941
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 2126
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 1234
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 8123
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 6361
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 2785
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 5697
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 1234
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 1015
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 8560
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 6348
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 2904
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 4327
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 9094
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 0782
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 2567
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 9253
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 4907
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 2327
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 0126
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 4927
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
PHF +9,+0,+5,+7
ROOT 6149
UHF +1,+1,+4,+4
LHF +4,+5,+7,+2
