NS 100
ROOT 9654
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 0765
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 7422
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 5248
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 7311
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 9802
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 5113
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 1080
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 4082
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 0763
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 5195
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 5454
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 4133
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 8640
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 4202
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 2127
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 0795
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 5327
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 4311
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 5224
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 9989
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 3006
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 2115
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 5218
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 2090
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 9557
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 0773
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 6460
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 8541
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 7537
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 4444
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 5117
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 0652
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 4244
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 9866
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 0907
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 4462
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 6206
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 7767
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 6339
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 6579
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 8882
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 8648
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 8878
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 6456
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 8426
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 0793
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 6234
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 2874
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 5428
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 02
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 6335
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 8656
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 7444
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 0977
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 6329
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 6226
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 7662
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 1800
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 5549
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 5202
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 8577
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 9917
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 00
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 00
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 6355
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 3341
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 8428
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 8678
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 7335
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 1989
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 1004
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 6329
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 7640
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 7446
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 5357
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 5199
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 7785
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 7466
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 7539
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 6311
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 9751
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 8450
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 00
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 7791
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 7335
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 3006
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 0765
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 9907
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 6424
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 0759
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 2216
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 3222
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 0795
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 3133
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 3905
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 5123
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 8577
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 2010
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
ROOT 1915
UHF +9,+4,+1,+3
LHF +9,+3,+4,+4
PHF +8,+0,+1,+4
