NS 100
ROOT 7926
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 6299
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 6158
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 5847
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 1300
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 0592
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 3601
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 4952
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 4077
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 8477
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 2592
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 4734
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 4637
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 1629
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 6271
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 9582
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 1041
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 7047
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 9823
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 5403
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 4611
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 9188
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 9823
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 3825
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 6930
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 7047
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 0259
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 0277
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 5403
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 8378
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 2855
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 6936
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 4396
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 0592
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 0392
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 4392
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 6934
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 3926
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 5489
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 8178
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 2712
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 1401
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 1304
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 4077
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 2477
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 7289
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 4956
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 3607
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 7067
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 7625
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 7269
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 5403
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 6936
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 3948
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 6855
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 1304
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 3522
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 8077
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 3623
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 6936
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 0378
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 4037
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 4396
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 9829
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 7267
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 5845
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 9281
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 2512
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 1700
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 1300
UHF +3,+3,+5,+7
LHF +2,+2,+3,+8
PHF +1,+4,0,+6
ROOT 8471
UHF +3,+3,+5,+7
